Census Tract,2028 Total Population
011150405.05,"2,152"
011150405.06,"5,919"
011150405.07,"4,067"
011150405.08,"2,027"
011170301.02,"4,117"
011170301.03,"1,262"
011170302.11,"3,365"
011170302.12,"3,643"
011170302.15,"5,169"
011170302.16,"8,770"
011170302.18,"5,328"
011170302.19,"5,412"
011170302.20,"6,387"
011170302.21,"5,569"
011170303.04,"6,453"
011170303.05,"3,954"
011170303.06,"3,940"
011170303.14,"3,334"
011170303.15,"6,074"
011170303.16,"5,339"
011170303.17,"4,158"
011170303.19,"2,737"
011170303.20,"5,762"
011170303.30,"5,613"
011170303.31,"4,568"
011170303.36,"10,569"
011170303.37,"2,074"
011170303.40,"5,706"
011170303.41,"2,517"
011170303.45,"3,911"
011170303.46,"4,040"
011170303.47,"4,748"
011170303.48,"5,895"
011170303.49,"1,238"
011170303.50,"3,644"
011170303.51,"4,893"
011170303.52,"6,181"
011170304.08,"3,180"
011170306.07,"6,218"
011170306.10,"4,437"
011170306.12,"2,945"
011170306.14,"4,443"
011170306.15,"7,379"
011170306.16,"2,822"
011170307.01,"5,873"
011170307.03,"4,030"
011170308.00,"4,403"
011170309.00,"2,616"
011179800.00,21
011179801.00,3
011210101.01,"5,543"
011210101.02,"5,013"
011210102.01,"4,940"
011210102.02,"4,468"
011210103.01,"3,023"
011210103.02,"4,549"
011210104.00,"2,775"
011210105.00,"2,554"
011210106.00,"2,932"
011210107.00,"3,010"
011210109.00,"3,161"
011210110.00,"2,999"
011210111.00,"4,385"
011210112.00,"2,529"
011210113.01,"2,906"
011210113.02,"2,994"
011210114.00,"2,639"
011210115.01,"2,827"
011210115.02,"2,885"
011210116.00,"4,763"
011210117.00,"3,900"
011250101.01,"4,081"
011250101.02,"4,224"
011250101.04,"3,895"
011250101.05,"3,875"
011250102.01,"5,264"
011250102.03,"3,385"
011250102.04,"5,302"
011250102.05,"6,954"
011250102.06,"5,214"
011250103.02,"4,545"
011250103.04,"5,213"
011250103.05,"4,082"
011250104.03,"4,379"
011250104.04,"3,116"
011250104.05,"6,138"
011250104.06,"4,787"
011250104.07,"3,646"
011250105.00,"2,216"
011250106.01,"6,254"
011250106.03,"6,495"
011250106.04,"7,299"
011250107.03,"3,823"
011250107.06,"4,540"
011250108.03,"2,921"
011250112.00,"9,228"
011250114.02,"3,983"
011250116.00,"3,020"
011250126.00,"2,436"
011250127.00,"4,347"
011250128.00,"2,258"
011270201.00,"3,617"
011270202.00,"4,253"
011270203.01,"4,102"
011270203.02,"3,168"
011270204.00,"2,077"
011270206.00,"2,504"
011270207.00,"3,258"
011270208.01,"2,379"
011270208.02,"3,120"
011270209.00,"4,647"
011270210.00,"3,207"
011270211.00,"3,066"
011270212.00,"2,929"
011270213.00,"3,304"
011270214.00,"3,645"
011270215.00,"2,825"
011270216.00,"1,640"
011270217.00,"4,541"
011270218.00,"3,207"
011270219.00,"2,099"
011339655.01,"2,259"
011339655.02,"2,606"
011339655.03,"2,732"
011339656.01,"2,026"
011339656.02,"2,874"
011339657.00,"4,615"
011339658.00,"3,794"
011339659.00,"2,088"
130159601.01,"1,636"
130159601.03,"3,671"
130159601.04,"3,133"
130159601.05,"3,661"
130159602.01,"3,757"
130159602.02,"3,705"
130159602.03,"5,459"
130159603.01,"3,532"
130159603.02,"4,700"
130159604.03,"5,469"
130159604.04,"5,265"
130159604.05,"5,162"
130159604.06,"3,162"
130159604.07,"2,266"
130159605.01,"6,068"
130159605.02,"3,788"
130159606.01,"6,199"
130159606.02,"4,231"
130159607.01,"4,524"
130159607.02,"3,727"
130159608.01,"3,979"
130159608.02,"3,116"
130159608.04,"8,577"
130159608.05,"1,957"
130159609.01,"3,298"
130159609.02,"7,747"
130159610.01,"5,398"
130159610.02,"3,387"
130351502.01,"5,436"
130351503.00,"8,860"
130459101.01,"7,371"
130459101.03,"5,764"
130459101.05,"5,667"
130459101.06,"4,949"
130459102.01,"3,654"
130459102.02,"6,797"
130459102.03,"5,431"
130459103.01,"3,293"
130459103.02,"3,701"
130459104.00,"3,807"
130459105.02,"3,176"
130459105.03,"4,826"
130459105.04,"4,822"
130459106.00,"6,658"
130459107.04,"4,266"
130459107.05,"5,414"
130459107.06,"4,437"
130459107.07,"4,681"
130459107.08,"3,812"
130459107.09,"4,684"
130459108.00,"4,306"
130459109.00,"3,860"
130459110.01,"3,529"
130459110.02,"3,171"
130459111.01,"4,825"
130459111.02,"3,221"
130459112.01,"2,887"
130459112.02,"3,130"
130470301.00,"7,928"
130470302.01,"5,177"
130470302.02,"6,465"
130470303.03,"3,241"
130470303.04,"3,714"
130470303.05,"1,983"
130470303.06,"5,752"
130470304.02,"7,095"
130470304.03,"5,583"
130470304.04,"2,679"
130470305.01,"3,276"
130470305.02,"3,671"
130470306.00,"5,023"
130470307.01,"3,764"
130470307.02,"4,530"
130550101.00,"2,268"
130550102.01,"3,067"
130550102.02,"3,406"
130550103.00,"2,992"
130550104.01,"2,465"
130550104.02,"2,741"
130550105.01,"2,058"
130550105.02,"3,452"
130550106.00,"2,486"
130570901.01,"4,613"
130570901.02,"6,553"
130570901.03,"2,564"
130570902.01,"2,755"
130570902.02,"8,331"
130570903.01,"5,797"
130570903.02,"2,844"
130570903.03,"8,004"
130570904.01,"5,683"
130570904.02,"10,959"
130570905.03,"5,322"
130570905.04,"5,787"
130570905.05,"6,226"
130570905.06,"5,977"
130570905.07,"2,355"
130570906.03,"6,611"
130570906.04,"3,632"
130570906.05,"4,180"
130570906.06,"5,028"
130570907.03,"7,334"
130570907.04,"4,138"
130570907.05,"3,160"
130570907.06,"5,118"
130570907.07,"4,631"
130570907.08,"5,730"
130570907.09,"4,187"
130570907.10,"4,667"
130570908.05,"5,426"
130570908.06,"4,962"
130570908.07,"8,942"
130570908.08,"7,897"
130570908.09,"4,499"
130570908.10,"5,307"
130570909.05,"5,267"
130570909.06,"7,044"
130570909.07,"5,399"
130570909.08,"5,752"
130570909.09,"7,156"
130570909.10,"5,715"
130570909.11,"5,445"
130570909.12,"4,077"
130570910.01,"7,167"
130570910.06,"4,833"
130570910.07,"6,494"
130570910.09,"6,920"
130570910.10,"3,048"
130570910.11,"4,845"
130570910.12,"4,711"
130570910.13,"6,004"
130570910.14,"4,940"
130570911.01,"6,390"
130570911.04,"7,174"
130570911.05,"7,614"
130570911.06,"5,418"
130570911.07,"3,416"
130570911.08,"1,949"
130630402.02,"3,457"
130630402.03,"4,377"
130630402.04,"5,990"
130630403.02,"5,685"
130630403.06,"3,907"
130630403.07,"5,370"
130630403.08,"4,737"
130630403.09,"3,144"
130630403.10,"4,376"
130630404.07,"5,324"
130630404.09,"6,252"
130630404.10,"8,037"
130630404.14,"2,106"
130630404.16,"4,144"
130630404.17,"5,101"
130630404.18,"2,377"
130630404.19,"6,264"
130630404.20,"7,313"
130630404.21,"7,559"
130630404.22,"3,103"
130630404.23,"3,606"
130630404.24,"3,610"
130630404.25,"5,255"
130630404.26,"2,733"
130630404.27,"5,591"
130630405.09,"4,684"
130630405.10,"3,567"
130630405.12,"5,223"
130630405.13,"5,601"
130630405.18,"5,582"
130630405.19,"5,087"
130630405.21,"3,263"
130630405.22,"5,273"
130630405.23,"2,549"
130630405.25,"2,939"
130630405.27,"4,048"
130630405.28,"3,709"
130630405.29,"3,415"
130630405.30,"4,367"
130630405.31,"2,550"
130630405.32,"2,299"
130630405.33,"4,637"
130630405.34,"4,021"
130630405.35,"3,859"
130630405.36,"3,343"
130630405.37,"3,885"
130630405.38,"2,874"
130630406.06,"8,592"
130630406.09,"7,474"
130630406.14,"5,649"
130630406.15,"2,028"
130630406.17,"1,533"
130630406.23,"6,050"
130630406.24,"3,325"
130630406.25,"5,830"
130630406.26,"5,360"
130630406.27,"5,605"
130630406.28,"3,596"
130630406.29,"2,699"
130630406.30,"4,164"
130630406.31,"8,387"
130630406.32,"5,383"
130630406.33,"3,394"
130630406.34,"3,880"
130630406.35,"2,588"
130630406.36,"6,465"
130630406.37,"3,323"
130630406.38,"3,465"
130630406.39,"5,877"
130639800.00,0
130670301.04,"4,175"
130670301.07,"5,567"
130670301.08,"5,202"
130670301.09,"4,238"
130670301.10,"5,254"
130670301.11,"4,851"
130670301.12,"2,955"
130670301.13,"4,263"
130670302.20,"1,737"
130670302.33,"4,935"
130670302.35,"5,750"
130670302.36,"5,281"
130670302.40,"5,299"
130670302.41,"3,179"
130670302.42,"4,467"
130670302.43,"4,458"
130670302.44,"4,867"
130670302.45,"3,231"
130670302.46,"4,074"
130670302.47,"5,066"
130670302.48,"6,876"
130670302.49,"4,122"
130670302.50,"5,797"
130670302.51,"3,483"
130670302.52,"5,222"
130670302.53,"3,638"
130670302.54,"1,917"
130670302.55,"4,858"
130670302.56,"4,338"
130670302.57,"4,105"
130670302.58,"3,172"
130670302.59,"3,740"
130670302.60,"2,963"
130670302.61,"3,525"
130670302.62,"4,661"
130670302.63,"3,177"
130670302.64,"2,969"
130670302.65,"3,332"
130670302.66,"2,995"
130670302.67,"3,210"
130670302.68,"3,762"
130670302.69,"3,580"
130670302.70,"3,569"
130670302.71,"2,969"
130670302.72,"2,505"
130670302.73,"3,859"
130670302.74,"4,029"
130670302.75,"2,221"
130670302.76,"3,364"
130670302.77,"3,554"
130670302.78,"4,961"
130670303.19,"4,716"
130670303.22,"3,736"
130670303.24,"3,627"
130670303.26,"4,576"
130670303.27,"5,002"
130670303.29,"4,637"
130670303.31,"6,098"
130670303.32,"3,142"
130670303.34,"3,528"
130670303.35,"5,312"
130670303.37,"5,048"
130670303.40,"4,027"
130670303.41,"5,075"
130670303.42,"4,945"
130670303.43,"4,827"
130670303.44,"3,595"
130670303.45,"8,368"
130670303.46,"3,479"
130670303.47,"4,809"
130670303.48,"5,234"
130670303.49,"3,584"
130670303.50,"2,425"
130670303.51,"2,826"
130670303.52,"5,226"
130670303.53,"3,821"
130670303.54,"4,683"
130670303.55,"2,540"
130670303.56,"4,862"
130670303.57,"2,451"
130670303.58,"3,962"
130670303.59,"4,308"
130670303.60,"2,442"
130670303.61,"3,613"
130670303.62,"3,230"
130670303.63,"3,250"
130670303.64,"3,067"
130670303.65,"3,339"
130670303.66,"3,088"
130670303.67,"2,771"
130670303.68,"2,921"
130670303.69,"3,781"
130670303.70,"4,155"
130670304.05,"6,486"
130670304.07,"5,505"
130670304.08,"3,926"
130670304.09,"3,560"
130670304.10,"5,068"
130670304.11,"2,686"
130670304.12,"4,983"
130670304.13,"6,500"
130670304.14,"3,307"
130670305.05,"6,254"
130670305.06,"4,544"
130670305.07,"5,192"
130670305.08,"3,356"
130670305.09,"3,743"
130670305.10,"1,885"
130670305.11,"4,812"
130670306.02,"7,624"
130670306.03,"6,361"
130670306.04,"4,202"
130670307.00,"4,912"
130670308.00,"5,804"
130670309.06,"4,025"
130670309.07,"3,960"
130670309.08,"4,098"
130670309.09,"3,053"
130670309.10,"3,772"
130670309.11,"3,734"
130670309.12,"6,800"
130670310.01,"5,645"
130670310.04,"8,446"
130670310.05,"5,825"
130670310.06,"4,786"
130670310.07,"5,293"
130670311.01,"5,885"
130670311.10,"2,957"
130670311.11,"3,456"
130670311.12,"5,922"
130670311.13,"1,358"
130670311.14,"7,488"
130670311.15,"4,901"
130670311.16,"4,616"
130670311.17,"5,608"
130670311.18,"6,341"
130670311.19,"4,040"
130670311.20,"4,474"
130670311.21,"2,890"
130670311.22,"3,065"
130670312.07,"6,039"
130670312.09,"4,658"
130670312.12,"2,407"
130670312.13,"2,691"
130670312.14,"3,665"
130670312.15,"5,447"
130670312.16,"3,365"
130670312.17,"4,507"
130670312.18,"2,180"
130670312.19,"2,330"
130670312.20,"2,983"
130670312.21,"3,937"
130670313.06,"5,127"
130670313.08,"5,591"
130670313.14,"8,014"
130670313.15,"5,143"
130670313.16,"5,996"
