Census Tract,2023 Median Household Income
011250107.06,"$71,551"
011250108.03,"$42,739"
011250112.00,"$25,755"
011250114.02,"$18,410"
011250116.00,"$30,740"
011250126.00,"$28,078"
011250127.00,"$58,947"
011250128.00,"$37,150"
011270201.00,"$36,473"
011270202.00,"$52,333"
011270203.01,"$61,642"
011270203.02,"$60,360"
011270204.00,"$36,417"
011270206.00,"$49,778"
011270207.00,"$63,363"
011270208.01,"$52,456"
011270208.02,"$56,126"
011270209.00,"$47,292"
011270210.00,"$43,791"
011270211.00,"$36,210"
011270212.00,"$47,501"
011270213.00,"$47,942"
011270214.00,"$47,456"
011270215.00,"$39,279"
011270216.00,"$41,230"
011270217.00,"$53,006"
011270218.00,"$44,262"
011270219.00,"$49,280"
011339655.01,"$47,832"
011339655.02,"$55,098"
011339655.03,"$57,844"
011339656.01,"$44,181"
011339656.02,"$39,228"
011339657.00,"$48,258"
011339658.00,"$38,513"
011339659.00,"$38,037"
130159601.01,"$85,559"
130159601.03,"$93,091"
130159601.04,"$75,814"
130159601.05,"$84,717"
130159602.01,"$78,224"
130159602.02,"$61,668"
130159602.03,"$71,600"
130159603.01,"$78,388"
130159603.02,"$70,023"
130159604.03,"$53,296"
130159604.04,"$70,614"
130159604.05,"$78,887"
130159604.06,"$62,911"
130159604.07,"$98,139"
130159605.01,"$77,325"
130159605.02,"$73,321"
130159606.01,"$74,611"
130159606.02,"$59,040"
130159607.01,"$46,730"
130159607.02,"$76,658"
130159608.01,"$60,306"
130159608.02,"$45,927"
130159608.04,"$93,933"
130159608.05,"$48,787"
130159609.01,"$81,644"
130159609.02,"$79,037"
130159610.01,"$93,232"
130159610.02,"$63,873"
130351502.01,"$42,336"
130351503.00,"$59,772"
130459101.01,"$59,730"
130459101.03,"$79,126"
130459101.05,"$73,555"
130459101.06,"$52,290"
130459102.01,"$78,306"
130459102.02,"$72,528"
130459102.03,"$62,343"
130459103.01,"$48,810"
130459103.02,"$48,970"
130459104.00,"$52,104"
130459105.02,"$22,344"
130459105.03,"$42,265"
130459105.04,"$36,213"
130459106.00,"$59,054"
130459107.04,"$108,187"
130459107.05,"$41,073"
130459107.06,"$97,338"
130459107.07,"$76,556"
130459107.08,"$50,391"
130459107.09,"$58,760"
130459108.00,"$51,253"
130459109.00,"$66,355"
130459110.01,"$81,017"
130459110.02,"$64,910"
130459111.01,"$52,272"
130459111.02,"$85,765"
130459112.01,"$56,751"
130459112.02,"$49,397"
130470301.00,"$59,349"
130470302.01,"$69,338"
130470302.02,"$71,829"
130470303.03,"$85,013"
130470303.04,"$77,410"
130470303.05,"$68,872"
130470303.06,"$77,371"
130470304.02,"$78,995"
130470304.03,"$93,367"
130470304.04,"$61,948"
130470305.01,"$51,416"
130470305.02,"$44,585"
130470306.00,"$59,167"
130470307.01,"$50,182"
130470307.02,"$43,583"
130550101.00,"$54,055"
130550102.01,"$47,312"
130550102.02,"$35,508"
130550103.00,"$35,568"
130550104.01,"$47,855"
130550104.02,"$25,485"
130550105.01,"$43,367"
130550105.02,"$29,891"
130550106.00,"$49,903"
130570901.01,"$95,170"
130570901.02,"$82,716"
130570901.03,"$84,016"
130570902.01,"$87,157"
130570902.02,"$105,495"
130570903.01,"$123,639"
130570903.02,"$97,079"
130570903.03,"$90,227"
130570904.01,"$49,777"
130570904.02,"$79,089"
130570905.03,"$146,446"
130570905.04,"$152,765"
130570905.05,"$141,900"
130570905.06,"$113,230"
130570905.07,"$152,368"
130570906.03,"$107,006"
130570906.04,"$55,851"
130570906.05,"$56,280"
130570906.06,"$86,391"
130570907.03,"$51,493"
130570907.04,"$76,950"
130570907.05,"$128,604"
130570907.06,"$138,695"
130570907.07,"$97,010"
130570907.08,"$108,621"
130570907.09,"$106,563"
130570907.10,"$117,473"
130570908.05,"$101,431"
130570908.06,"$117,596"
130570908.07,"$122,372"
130570908.08,"$125,998"
130570908.09,"$105,830"
130570908.10,"$133,097"
130570909.05,"$77,143"
130570909.06,"$124,299"
130570909.07,"$92,166"
130570909.08,"$115,057"
130570909.09,"$83,913"
130570909.10,"$117,032"
130570909.11,"$122,088"
130570909.12,"$123,795"
130570910.01,"$66,572"
130570910.06,"$146,306"
130570910.07,"$123,585"
130570910.09,"$97,420"
130570910.10,"$133,308"
130570910.11,"$89,326"
130570910.12,"$81,603"
130570910.13,"$78,309"
130570910.14,"$64,421"
130570911.01,"$117,862"
130570911.04,"$110,838"
130570911.05,"$75,000"
130570911.06,"$100,411"
130570911.07,"$59,421"
130570911.08,"$111,225"
130630402.02,"$38,363"
130630402.03,"$45,720"
130630402.04,"$49,812"
130630403.02,"$39,728"
130630403.06,"$37,713"
130630403.07,"$51,446"
130630403.08,"$27,624"
130630403.09,"$35,253"
130630403.10,"$40,659"
130630404.07,"$51,593"
130630404.09,"$58,376"
130630404.10,"$58,679"
130630404.14,"$48,734"
130630404.16,"$58,806"
130630404.17,"$40,365"
130630404.18,"$93,488"
130630404.19,"$47,242"
130630404.20,"$56,095"
130630404.21,"$74,407"
130630404.22,"$36,104"
130630404.23,"$42,080"
130630404.24,"$71,171"
130630404.25,"$41,565"
130630404.26,"$76,783"
130630404.27,"$61,317"
130630405.09,"$63,299"
130630405.10,"$61,756"
130630405.12,"$47,827"
130630405.13,"$56,003"
130630405.18,"$44,116"
130630405.19,"$32,800"
130630405.21,"$51,037"
130630405.22,"$44,354"
130630405.23,"$43,091"
130630405.25,"$48,919"
130630405.27,"$61,117"
130630405.28,"$40,641"
130630405.29,"$51,223"
130630405.30,"$52,292"
130630405.31,"$39,175"
130630405.32,"$45,833"
130630405.33,"$52,476"
130630405.34,"$49,856"
130630405.35,"$74,632"
130630405.36,"$63,707"
130630405.37,"$70,304"
130630405.38,"$55,376"
130630406.06,"$51,787"
130630406.09,"$69,247"
130630406.14,"$115,117"
130630406.15,"$77,261"
130630406.17,"$36,996"
130630406.23,"$52,878"
130630406.24,"$76,583"
130630406.25,"$71,976"
130630406.26,"$75,444"
130630406.27,"$68,106"
130630406.28,"$111,518"
130630406.29,"$53,854"
130630406.30,"$40,850"
130630406.31,"$85,735"
130630406.32,"$51,223"
130630406.33,"$55,810"
130630406.34,"$24,693"
130630406.35,"$56,936"
130630406.36,"$94,029"
130630406.37,"$59,653"
130630406.38,"$74,292"
130630406.39,"$87,356"
130639800.00,$0
130670301.04,"$71,413"
130670301.07,"$111,731"
130670301.08,"$106,910"
130670301.09,"$82,445"
130670301.10,"$89,570"
130670301.11,"$100,030"
130670301.12,"$61,914"
130670301.13,"$79,518"
130670302.20,"$103,529"
130670302.33,"$115,956"
130670302.35,"$121,890"
130670302.36,"$160,972"
130670302.40,"$103,401"
130670302.41,"$122,910"
130670302.42,"$96,219"
130670302.43,"$91,798"
130670302.44,"$149,341"
130670302.45,"$116,224"
130670302.46,"$50,651"
130670302.47,"$52,183"
